,date,time,latitude,longitude,deepness,md,ml,mw,place
5,Tarih     ,Saat    ,Enlem(N),Boylam(,lik(,MD ,Mw ,ML ,Yer                                             Ç
6,----------,--------,--------,-------,----,---,-- ,---,--------------                                  -
137,2023.03.30,23:59:38,37.8572 ,36.2758,5.4 ,-.-,-.-,2.1,TOPALLAR-SAIMBEYLI (ADANA)
138,2023.03.30,23:54:08,37.9112 ,36.7288,8.0 ,-.-,-.-,1.3,KOZCAGIZ-(KAHRAMANMARAS)
139,2023.03.30,23:48:39,37.9160 ,36.2352,6.7 ,-.-,-.-,1.8,AKSAAGAC-SAIMBEYLI (ADANA)
140,2023.03.30,23:47:43,35.8842 ,26.9250,5.3 ,-.-,-.-,2.8,AKDENIZ
141,2023.03.30,23:41:58,36.2368 ,36.1383,8.5 ,-.-,-.-,1.4,SARAYCIK-(HATAY)
142,2023.03.30,23:26:56,37.8705 ,36.3977,6.4 ,-.-,-.-,2.8,KUCUKCAMURLU-GOKSUN (KAHRAMANMARAS)
143,2023.03.30,23:20:37,39.2993 ,28.2260,7.2 ,-.-,-.-,2.4,YUSUFCAM-SINDIRGI (BALIKESIR)
144,2023.03.30,23:14:38,38.0815 ,36.5352,3.1 ,-.-,-.-,1.4,ALICLIBUCAK-GOKSUN (KAHRAMANMARAS)
145,2023.03.30,23:13:28,38.0300 ,36.4828,8.1 ,-.-,-.-,1.4,GOKSUN (KAHRAMANMARAS)
146,2023.03.30,23:07:47,37.3135 ,37.0588,4.6 ,-.-,-.-,3.3,EMIROGLU-PAZARCIK (KAHRAMANMARAS)
147,2023.03.30,23:05:45,37.9380 ,36.3232,6.2 ,-.-,-.-,2.2,HACIKODAL-GOKSUN (KAHRAMANMARAS)
148,2023.03.30,23:03:37,36.0507 ,36.0825,0.2 ,-.-,-.-,1.6,DAGDUZU-(HATAY)
149,2023.03.30,23:00:56,37.8937 ,36.4590,8.4 ,-.-,-.-,1.8,DEGIRMENDERE-GOKSUN (KAHRAMANMARAS)
150,2023.03.30,22:57:59,38.0648 ,36.5563,5.3 ,-.-,-.-,2.1,YAGMURLU-GOKSUN (KAHRAMANMARAS)
151,2023.03.30,22:55:11,38.2512 ,38.1970,6.0 ,-.-,-.-,2.3,SEYITUSAGI-YESILYURT (MALATYA)
152,2023.03.30,22:53:22,37.9645 ,36.3237,5.0 ,-.-,-.-,1.6,KAZANDERE-GOKSUN (KAHRAMANMARAS)
153,2023.03.30,22:51:12,37.6823 ,37.5492,8.0 ,-.-,-.-,1.4,CELIKKOY-GOLBASI (ADIYAMAN)
154,2023.03.30,22:39:09,38.2547 ,37.6583,5.0 ,-.-,-.-,3.0,HARUNUSAGI-AKCADAG (MALATYA)
155,2023.03.30,22:35:53,36.4008 ,36.0728,6.3 ,-.-,-.-,1.1,CERCIKAYA-BELEN (HATAY)
156,2023.03.30,22:30:31,38.0635 ,36.5555,4.2 ,-.-,-.-,1.5,ORTATEPE-GOKSUN (KAHRAMANMARAS)
157,2023.03.30,22:23:01,34.8740 ,25.3417,5.0 ,-.-,-.-,4.3,GIRIT ADASI (AKDENIZ)
158,2023.03.30,22:19:20,36.2712 ,36.1580,2.7 ,-.-,-.-,1.5,KUZEYTEPE-(HATAY)
159,2023.03.30,22:07:14,37.7185 ,36.1455,6.7 ,-.-,-.-,1.5,HALILBEYLI-SAIMBEYLI (ADANA)
160,2023.03.30,22:05:20,38.0070 ,38.1558,9.2 ,-.-,-.-,1.7,PINARBASI-CELIKHAN (ADIYAMAN)
161,2023.03.30,22:00:58,37.1393 ,38.5633,8.3 ,-.-,-.-,1.5,GOBEKLI-(SANLIURFA)
162,2023.03.30,21:58:04,38.3198 ,37.3748,0.4 ,-.-,-.-,1.5,AKSAKAL-ELBISTAN (KAHRAMANMARAS)
